countries;literacy_inequality
Australia;1.610349213
Austria;1.716941852
Belgium;1.740257743
Canada;1.573911631
Czech Republic;1.743012402
Denmark;1.594974222
Finland;1.475431888
France;1.728003801
Germany;1.719702291
Greece;1.722499339
Hungary;1.620709864
Iceland;1.654064252
Ireland;1.590217406
Italy;1.752955059
Japan;1.652193881
Korea;1.545776704
Luxembourg;1.70136067
Mexico;1.755798339
Netherlands;1.614444199
New Zealand;1.676001258
Norway;1.692809117
Poland;1.632216885
Portugal;1.68947711
Slovak Republic;1.712179223
Spain;1.636258647
Sweden;1.63006314
Switzerland;1.650384595
Turkey;1.704249349
United Kingdom;1.690350618
United States;1.725965403
OECD - Total;1.665085337