countries;poor_environmental_conditions
Australia;10.5
Austria;20.15418609
Belgium;29.75452638
Czech Republic;29.74859392
Denmark;20.15146723
Finland;22.8023618
France;25.83029828
Germany;37.37470837
Greece;25.070654
Hungary;22.21378548
Iceland;15.53468756
Ireland;19.30009971
Italy;32.57736342
Japan;32.38
Luxembourg;25.57423111
Netherlands;38.71287446
Norway;11.99278944
Poland;22.8419035
Portugal;33.45789776
Slovak Republic;27.34869142
Spain;31.68334715
Sweden;15.74642214
United Kingdom;29.06905181
United States;25.4
OECD - Total;25.21749754