countries;cancer
Australia;323
Australia;38.4
Australia;27
Austria;254.1
Austria;26
Austria;27.5
Belgium;321.1
Belgium;36.7
Belgium;36.8
Canada;295.7
Canada;35.2
Canada;37.9
Czech Republic;293.8
Czech Republic;38.9
Czech Republic;32.5
Denmark;338.1
Denmark;40.5
Denmark;39.2
Finland;256.8
Finland;23.5
Finland;20.1
France;303.5
France;30
France;35
Germany;283.8
Germany;30.9
Germany;27.5
Greece;163
Greece;13.5
Greece;28.5
Hungary;285.4
Hungary;42.3
Hungary;51.6
Iceland;284.3
Iceland;28.4
Iceland;29.8
Ireland;307.9
Ireland;34.9
Ireland;31.3
Italy;278.6
Italy;33.9
Italy;24.5
Japan;217.1
Japan;32.2
Japan;24.6
Korea;307.8
Korea;45
Korea;28.7
Luxembourg;280.3
Luxembourg;31.5
Luxembourg;28.4
Mexico;131.5
Mexico;7.8
Mexico;7.5
Netherlands;304.8
Netherlands;40.2
Netherlands;37.2
New Zealand;295
New Zealand;37.3
New Zealand;25.9
Norway;318.3
Norway;38.9
Norway;30
Poland;229.6
Poland;27
Poland;38
Portugal;246.2
Portugal;31.7
Portugal;20.2
Slovak Republic;276.9
Slovak Republic;42.7
Slovak Republic;28.3
Spain;249
Spain;33.1
Spain;30.3
Sweden;270
Sweden;29.2
Sweden;19.1
Switzerland;287
Switzerland;29.4
Switzerland;27.3
Turkey;205.1
Turkey;16.6
Turkey;34.7
United Kingdom;272.9
United Kingdom;30.2
United Kingdom;30
United States;318
United States;25
United States;38.4
Brazil;205.5
Brazil;15.8
Brazil;16.3
Chile;175.7
Chile;15
Chile;13.3
China (People's Republic of);174
China (People's Republic of);14.2
China (People's Republic of);36.1
Estonia;242.8
Estonia;27.2
Estonia;24.4
India;94
India;6.1
India;6.9
Indonesia;133.5
Indonesia;12.8
Indonesia;16.3
Israel;283.2
Israel;35.9
Israel;21.2
Russia;204.3
Russia;24.5
Russia;24
Slovenia;296.3
Slovenia;37
Slovenia;33.9
South Africa;187.1
South Africa;11.9
South Africa;18.5
Latvia;27.8
Lithuania;23.4
Costa Rica;179.3
Lithuania;251.9
Latvia;23.7
Costa Rica;7.3
Colombia;160.6
Costa Rica;16.4
Colombia;11
Colombia;12.9
Latvia;246.8
Lithuania;26.2