countries;Roads, paved (% of total roads)
Afghanistan;
Albania;39
Algeria;68.9000015258789
American Samoa;
Andorra;
Angola;10.3999996185303
Antigua and Barbuda;
Argentina;29.3999996185303
Armenia;
Aruba;
Australia;
Austria;100
Azerbaijan;
Bahamas;57.4000015258789
Bahrain;77.5999984741211
Bangladesh;9.52999973297119
Barbados;98.5999984741211
Belarus;
Belgium;78.1999969482422
Belize;17
Benin;
Bermuda;
Bhutan;
Bolivia;6.59999990463257
Bosnia and Herzegovina;
Botswana;
Brazil;5.5
Brunei;34.7000007629395
Bulgaria;
Burkina Faso;
Burundi;7.09999990463257
Cambodia;
Cameroon;8.10000038146973
Canada;
Cape Verde;69.0400009155273
Cayman Islands;
Central African Rep.;
Chad;0.800000011920929
Channel Islands;
Chile;18.3999996185303
China;
Colombia;
Comoros;76.5
Congo, Dem. Rep.;
Congo, Rep.;9.69999980926514
Costa Rica;22
Cote d'Ivoire;9.69999980926514
Croatia;85.4
Cuba;49
Cyprus;60.5999984741211
Czech Rep.;100
Denmark;100
Djibouti;45
Dominica;50.4000015258789
Dominican Rep.;49.4000015258789
Ecuador;18.8999996185303
Egypt;78.0999984741211
El Salvador;19.7999992370605
Equatorial Guinea;
Eritrea;21.7999992370605
Estonia;20.1000003814697
Ethiopia;12
Faeroe Islands;
Fiji;49.2000007629395
Finland;62
France;100
French Polynesia;
Gabon;9.89999961853027
Gambia;
Georgia;
Germany;
Ghana;29.6000003814697
Gibraltar;
Greece;91.8000030517578
Greenland;
Grenada;60.9599990844727
Guam;
Guatemala;34.5
Guinea;16.5
Guinea-Bissau;
Guyana;7.40000009536743
Haiti;24.2999992370605
Honduras;20.3999996185303
Hong Kong, China;
Hungary;
Iceland;29.5
India;47.4599990844727
Indonesia;57.0999984741
Iran;
Iraq;84.3000030517578
Ireland;100
Isle of Man;
Israel;100
Italy;100
Jamaica;70.0999984741211
Japan;76.5999984741211
Jordan;
Kazakhstan;
Kenya;12.1000003814697
Kiribati;
Korea, Dem. Rep.;6.40000009536743
Korea, Rep.;74.5
Kosovo;
Kuwait;80.5999984741211
Kyrgyzstan;91.0999984741211
Laos;
Latvia;
Lebanon;
Lesotho;18.2999992370605
Liberia;6.19999980926514
Libya;57.2000007629395
Liechtenstein;
Lithuania;
Luxembourg;100
Macao, China;100
Macedonia, FYR;
Madagascar;11.6000003814697
Malawi;
Malaysia;76.1848145082399
Maldives;
Mali;12.1000003814697
Malta;88
Marshall Islands;
Mauritania;
Mauritius;97
Mayotte;
Mexico;32.7999992371
Micronesia, Fed. Sts.;17.5
Moldova;86.0999984741211
Monaco;100
Mongolia;3.5
Montenegro;
Morocco;56.4199981689453
Mozambique;18.7000007629395
Myanmar;11.4399995803833
Namibia;
Nepal;
Netherlands;90
New Caledonia;
New Zealand;62.7999992370605
Nicaragua;11.0600004196
Niger;
Nigeria;
Northern Mariana Islands;
Norway;76
Oman;30
Pakistan;56
Palau;
Panama;34.5999984741211
Papua New Guinea;3.5
Paraguay;50.7999992370605
Peru;13.3500003814697
Philippines;
Poland;68.3000030517578
Portugal;86
Puerto Rico;94
Qatar;90
Romania;49.5
Russia;
Rwanda;
Saint Kitts and Nevis;
Saint Lucia;
Saint Martin;
Saint Vincent and the Grenadines;68
Samoa;
San Marino;
Sao Tome and Principe;68.0999984741211
Saudi Arabia;29.8999996185303
Senegal;29.2999992370605
Serbia;62.7000007629395
Seychelles;
Sierra Leone;7.90000009536743
Singapore;100
Slovak Republic;87
Slovenia;100
Solomon Islands;2.44000005722046
Somalia;11.8000001907349
South Africa;20.2999992370605
Spain;99
Sri Lanka;
Sudan;36.2999992370605
Suriname;26
Swaziland;
Sweden;
Switzerland;
Syria;
Tajikistan;
Tanzania;
Thailand;98.5
Timor-Leste;
Togo;31.6000003814697
Tonga;27
Trinidad and Tobago;51.0999984741211
Tunisia;68.4000015258789
Turkey;
Turkmenistan;81.1999969482422
Turks and Caicos Islands;
Tuvalu;
Uganda;
Ukraine;96.6999969482422
United Arab Emirates;100
United Kingdom;100
United States;
Uruguay;
Uzbekistan;87.3000030517578
Vanuatu;23.8999996185303
Venezuela;33.5999984741211
Vietnam;
Virgin Islands (U.S.);
West Bank and Gaza;
Yemen, Rep.;
Zambia;
Zimbabwe;