countries;Children out of school, primary, female
Abkhazia;
Afghanistan;
Akrotiri and Dhekelia;
Albania;24446
Algeria;47078
American Samoa;
Andorra;455
Angola;321294
Anguilla;
Antigua and Barbuda;637
Argentina;
Armenia;
Aruba;179
Australia;23100
Austria;
Azerbaijan;36907
Bahamas;
Bahrain;
Bangladesh;
Barbados;
Belarus;
Belgium;2841
Belize;
Benin;
Bermuda;
Bhutan;4794
Bolivia;38926
Bosnia and Herzegovina;12045
Botswana;18042
Brazil;
British Virgin Islands;
Brunei;
Bulgaria;334
Burkina Faso;530606
Burundi;
Cambodia;
Cameroon;
Canada;
Cape Verde;2696
Cayman Islands;
Central African Republic;142198
Chad;
Channel Islands;
Chile;47772
China;
Christmas Island;
Cocos Island;
Colombia;149499
Comoros;
Congo, Dem. Rep.;
Congo, Rep.;
Cook Is;
Costa Rica;
Cote d'Ivoire;663809
Croatia;5939
Cuba;
Cyprus;298
Czech Republic;
Czechoslovakia;
Denmark;5761
Djibouti;29174
Dominica;
Dominican Republic;51664
East Germany;
Ecuador;
Egypt;177918
El Salvador;20845
Equatorial Guinea;21455
Eritrea;200490
Eritrea and Ethiopia;
Estonia;1427
Ethiopia;1267208
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;331
Finland;3929
France;
French Guiana;
French Polynesia;
Gabon;
Gambia;32777
Georgia;
Germany;
Ghana;378935
Gibraltar;
Greece;
Greenland;
Grenada;49
Guadeloupe;
Guam;
Guatemala;27139
Guernsey;
Guinea;219829
Guinea-Bissau;
Guyana;9483
Haiti;
Holy See;
Honduras;13599
Hong Kong, China;4384
Hungary;3479
Iceland;63
India;
Indonesia;
Iran;
Iraq;
Ireland;
Isle of Man;
Israel;10032
Italy;10944
Jamaica;31667
Japan;
Jersey;
Jordan;
Kazakhstan;1639
Kenya;486219
Kiribati;
North Korea;
South Korea;13864
"United Korea (former)";
Kosovo;
Kuwait;
Kyrgyz Republic;11545
Lao;35260
Latvia;2744
Lebanon;24462
Lesotho;48464
Liberia;178537
Libya;
Liechtenstein;
Lithuania;2033
Luxembourg;
Macao, China;1873
Macedonia, FYR;3163
Madagascar;
Malawi;
Malaysia;
Maldives;757
Mali;485145
Malta;1353
Marshall Islands;
Martinique;
Mauritania;62294
Mauritius;3498
Mayotte;
Mexico;10518
Micronesia, Fed. Sts.;
Moldova;7930
Monaco;
Mongolia;3538
Montenegro;
Montserrat;
Morocco;187715
Mozambique;268427
Myanmar;
Namibia;20909
Nauru;
Nepal;
Netherlands;
Netherlands Antilles;
New Caledonia;
New Zealand;660
Ngorno-Karabakh;
Nicaragua;
Niger;641202
Nigeria;5404048
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;1788
Oman;4556
Pakistan;3500674
Palau;
Panama;6429
Papua New Guinea;
Paraguay;60172
Peru;43495
Philippines;661551
Pitcairn;
Poland;46929
Portugal;1569
Puerto Rico;
Qatar;669
Reunion;
Romania;32481
Russia;92839
Rwanda;
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;212
St. Lucia;849
St. Martin;
St. Vincent and the Grenadines;
St.-Pierre-et-Miquelon;
Samoa;
San Marino;56
Sao Tome and Principe;
Saudi Arabia;164159
Senegal;195305
Serbia;6110
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;
Sierra Leone;
Singapore;
Slovak Republic;
Slovenia;1562
Solomon Islands;
Somalia;
Somaliland;
South Africa;316513
South Ossetia;
Spain;1251
Sri Lanka;50853
Sudan;
Suriname;2791
Svalbard;
Swaziland;18941
Sweden;2829
Switzerland;2049
Syria;16379
Taiwan;
Tajikistan;14377
Tanzania;
Thailand;306770
Timor-Leste;20333
Togo;
Tokelau;
Tonga;
Transnistria;
Trinidad and Tobago;3462
Tunisia;
Turkey;103305
Turkmenistan;
Turks and Caicos Islands;
Tuvalu;
Uganda;157523
Ukraine;75467
United Arab Emirates;
United Kingdom;5518
United States;247001
Uruguay;1270
USSR;
Uzbekistan;101521
Wallis et Futuna;
Vanuatu;
Venezuela;90980
West Bank and Gaza;25459
West Germany;
Western Sahara;
Vietnam;
Virgin Islands (U.S.);
North Yemen (former);
South Yemen (former);
Yemen;
Yugoslavia;
Zambia;47134
Zimbabwe;
Åland;
South Sudan;
Christian;
Coastline;
Curaçao;
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Virgin Islands, British;
Hawaiian Trade Zone;
U.S. Pacific Islands;
Wake Island;
Bonaire;
Sark;
Chinese Taipei;
Saint Eustatius;
Saba;