countries;Adult (15+) literacy rate (%). Female
Afghanistan;13
Albania;95.6914799552
Algeria;
Andorra;
Angola;58.60846
Anguilla;
Antigua and Barbuda;99.42
Argentina;97.89042
Armenia;99.45376
Aruba;
Australia;
Austria;
Azerbaijan;
Bahamas;
Bahrain;
Bangladesh;53.4105
Barbados;
Belarus;
Belgium;
Belize;
Benin;
Bermuda;
Bhutan;
Bolivia;
Bosnia and Herzegovina;96.69526
Botswana;85.56156
Brazil;
British Virgin Islands;
Brunei;93.92081
Bulgaria;97.9838974472264
Burkina Faso;
Burundi;
Cambodia;
Cameroon;
Canada;
Cape Verde;80.25824
Cayman Islands;
Central African Rep.;44.17747
Chad;25.39826
Chile;
China;
Colombia;93.6671378327439
Comoros;70.57002
Congo, Dem. Rep.;
Congo, Rep.;
Cook Islands;
Costa Rica;96.47886
Cote d'Ivoire;47.58359
Croatia;98.31105
Cuba;99.82679
Cyprus;98.116229344559
Czech Rep.;
Denmark;
Djibouti;
Dominica;
Dominican Rep.;90.2255199031432
Ecuador;90.2208247612569
Egypt;64.6362345720184
El Salvador;
Equatorial Guinea;91.07868
Eritrea;59.03992
Estonia;99.81971
Ethiopia;
Fiji;
Finland;
France;
Gabon;85.63833
Gambia;41.88712
Georgia;99.68613
Germany;
Ghana;
Gibraltar;
Greece;96.27898
Grenada;
Guatemala;71.08082
Guinea;
Guinea-Bissau;42.06704
Guyana;
Haiti;
Holy See;
Honduras;84.9303497260216
Hong Kong, China;
Hungary;98.9387
Iceland;
India;
Indonesia;90.0686971973496
Iran;
Iraq;71.20716
Ireland;
Israel;
Italy;98.74161
Jamaica;91.76553
Japan;
Jordan;93.9334566634725
Kazakhstan;
Kenya;
Kiribati;
Korea, Dem. Rep.;
Korea, Rep.;
Kuwait;
Kyrgyzstan;
Laos;
Latvia;99.79728
Lebanon;
Lesotho;
Liberia;
Libya;83.32303
Liechtenstein;
Lithuania;99.72063
Luxembourg;
Macao, China;93.7319061702893
Macedonia, FYR;96.04252
Madagascar;
Malawi;
Malaysia;
Maldives;
Mali;24.5674143344402
Malta;
Marshall Islands;
Mauritania;51.97767
Mauritius;86.66407
Mexico;92.3382818282032
Micronesia, Fed. Sts.;
Moldova;98.48289
Monaco;
Mongolia;97.87714
Montenegro;97.58914
Montserrat;
Morocco;57.6399912929909
Mozambique;
Myanmar;90.37064
Namibia;
Nauru;
Nepal;46.7060980909679
Netherlands;
Netherlands Antilles;96.53381
New Zealand;
Nicaragua;
Niger;
Nigeria;
Niue;
Norway;
Oman;
Pakistan;
Palau;
Panama;
Papua New Guinea;59.40146
Paraguay;
Peru;
Philippines;
Poland;99.58486
Portugal;93.95712
Puerto Rico;90.91396
Qatar;
Romania;97.14531
Russia;
Rwanda;
Saint Kitts and Nevis;
Saint Lucia;
Saint Vincent and the Grenadines;
Samoa;98.61721
San Marino;
Sao Tome and Principe;
Saudi Arabia;82.23673
Senegal;
Serbia;96.87049
Seychelles;92.25897952
Sierra Leone;32.62891
Singapore;
Slovak Republic;
Slovenia;99.67143
Solomon Islands;
Somalia;
South Africa;92.1837141560597
Spain;
Sri Lanka;
Sudan;63.16023
Suriname;
Swaziland;87.32746
Sweden;
Switzerland;
Syria;77.74985
Tajikistan;99.61533
Tanzania;
Thailand;
Timor-Leste;
Togo;47.9773866234705
Tokelau;
Tonga;
Trinidad and Tobago;98.4869
Tunisia;
Turkey;90.310104699489
Turkmenistan;99.49422
Turks and Caicos Islands;
Tuvalu;
Uganda;
Ukraine;99.6604
United Arab Emirates;
United Kingdom;
United States;
Uruguay;
Uzbekistan;99.23196
Vanuatu;81.55354
Venezuela;
West Bank and Gaza;92.6161796937761
Vietnam;91.38346
Yemen, Rep.;48.53905
Zambia;
Zimbabwe;80.0656593368591
Abkhazia;
Akrotiri and Dhekelia;
American Samoa;
Channel Islands;
Christmas Island;
Cocos Island;
Czechoslovakia;
East Germany;
Eritrea and Ethiopia;
Faeroe Islands;
Falkland Islands (Malvinas);
French Guiana;
French Polynesia;
Greenland;
Guadeloupe;
Guam;
Guernsey;
Isle of Man;
Jersey;
Korea, United;
Kosovo;
Martinique;
Mayotte;
New Caledonia;
Ngorno-Karabakh;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Pitcairn;
Reunion;
Saint Barthélemy;
Saint Helena;
Saint Martin;
Saint-Pierre-et-Miquelon;
Serbia and Montenegro;
Serbia excluding Kosovo;
Somaliland;
South Ossetia;
South Sudan;
Svalbard;
Taiwan;
Transnistria;
USSR;
Wallis et Futuna;
West Germany;
Western Sahara;
Virgin Islands (U.S.);
Yemen Arab Republic (Former);
Yemen Democratic (Former);
Yugoslavia;
Åland;
;
;